"2021-10-21","1451008961897906179","zaobaosg","RT @zaobaosg: 从餐饮食品到五金业，受访业者纷纷表示冠病疫情暴发以来，一直备受供应链吃紧及能源和大宗商品价格上涨的问题困扰，有的已上调产品价格，有的则表示还在观望，但价格上涨几乎是无可避免。https://t.co/1HHMDMO8vx"
"2021-10-18","1449946663078924292","zaobaosg","RT @zaobaosg: 沙特阿拉伯圣城麦加的大清真寺星期天（10月17日）解除社交距离措施，这是自冠病疫情暴发以来，朝圣者首次能够肩并肩祷告。不过，大清真寺只允许完成冠病疫苗接种的教徒入内，并规定他们必须戴口罩。https://t.co/uPeJM7cvkq"
"2021-10-17","1449621773415297025","zaobaosg","RT @zaobaosg: 以色列与冠病共存策略奏效，今年6月暴发第四波疫情后并没有再封城，而且新增确诊病例和重症病患人数都大减。以色列采取的措施，是让12岁以上国民接种冠病疫苗加强剂、强制戴口罩，要求人们进入公共场所如餐馆之前出示疫苗接种证明等措施，在四个月内成功大幅减少确诊…"
"2021-10-15","1448911575654432768","ChineseWSJ","RT @ChineseWSJ: 上周的美国首次申请失业救济人数降至30万人以下，这是自2020年新冠疫情暴发以来首次低于该位，这表明在劳动力需求强劲之际，企业正紧抓工人不放。
"2021-10-05","1445254151147909122","ChineseWSJ","RT @ChineseWSJ: 新西兰总理阿德恩周一表示，奥克兰在8月中旬疫情暴发后实施的限制措施将从本周开始逐步放松。她表示，政府的目标是“积极控制新冠病毒”，这与新西兰政府之前彻底清除新冠病毒的措辞形成对比。
"2021-10-04","1445053771243946001","zaobaosg","RT @zaobaosg: 马来西亚政府上个月在著名旅游胜地浮罗交怡试行国内旅游泡泡后，当地直落尼蒙一家知名五星级酒店上周五暴发冠病感染群。政府已经下令这家酒店暂时关闭。这是旅游泡泡计划实施以来，当地首次出现冠病感染群。
"2021-10-01","1443829511611568131","ChineseWSJ","RT @ChineseWSJ: #市场分析 一些分析师表示，美国金融市场一度弥漫着自满情绪，自新冠疫情暴发以来，在过去一年的至少很大一部分时间里都把良好的经济前景反映到了价格之中，但随着投资者开始考量通胀比原来以为的更加持久这一因素，金融市场面临重新调整。https://t.c…"
"2021-08-31","1432546787261255682","zaobaosg","RT @zaobaosg: 随着疫苗接种率提高，新加坡不再以“清零”为防疫目标，而是会分阶段走向与病毒“共存”的新常态。“共存”还是“清零”？冠病疫情暴发18个月后，越来越多国家需要在这两条截然不同的路径之间做出抉择。https://t.co/W4PMBWXxxz"
"2021-08-25","1430470490343153667","zaobaosg","RT @zaobaosg: 去年暴发的冠病疫情，加剧了国人的心理健康问题，自杀案例比2019年高出13%。为了应对疫情对不同群体造成的心理影响，新成立的心理健康跨部门工作小组列出了三个主要工作方针：一是制订全国心理健康战略，二是汇集现有的心理健康资讯，三是制订全国心理健康能力培…"
"2021-08-16","1427346979277852672","ChineseWSJ","RT @ChineseWSJ: 受极端天气以及高传染性德尔塔变异毒株在国内多地传播影响，7月份中国经济放缓程度超出预期，给疫情首次暴发一年多后已趋于平稳的经济复苏再添压力。澳新银行在数据发布后将其对中国全年GDP增长预期从8.8%下调至8.3%。https://t.co/hmu…"
"2021-08-12","1425894488749211650","ChineseWSJ","RT @ChineseWSJ: #股闻天下 7月美国通胀降温或许只能预示着通胀步伐有所放缓，但不会回到疫情暴发前长期呈现的非常低的水平。这不算是经济环境恶化，但比起投资者所习惯的情况，还是会有很大的不同。 https://t.co/eHeJcWliQT"
"2021-08-02","1422112332134584322","ChineseWSJ","RT @ChineseWSJ: 7月到目前为止，中概股已累计损失超过4,070亿美元的市值，是去年疫情暴发之初美股大跌期间中概股所损失市值的两倍多。
"2021-07-15","1415822276591816715","zaobaosg","RT @zaobaosg: 美国上周首次申请失业救济人数降至冠病疫情暴发以来新低，表明随着商业环境改善和企业招聘意愿回升，失业人数正在减少。https://t.co/4u1XKLVL1I https://t.co/zgR7KsUTH2"
"2021-06-30","1410127999765073922","zaobaosg","RT @zaobaosg: 彭博社公布最新全球抗疫排行榜，台湾因疫苗接种慢、疫情暴发，排名猛跌至第44位，在受调查的53个主要经济体中倒数第10名。https://t.co/p0yqIURwmY"
"2021-06-13","1403929553437749251","zaobaosg","RT @zaobaosg: 马来西亚去年3月暴发冠病疫情至今，冠病死亡率从0.4%一度上升至1.34%。卫生部数据显示，单在本月首11天，就录得972起死亡病例，平均每小时有3人至4人死于冠病，情况堪忧。
"2021-06-01","1399616073830305792","zaobaosg","RT @zaobaosg: 为防校园暴发感染群，德国一些地区的学校近期开始让学童进行快速冠病病毒检测，图为杜塞尔多夫（Duesseldorf）一所小学的学生周一返校上课时，把棉签放入口中采集自己的唾液样本。
"2021-05-25","1396982124868030464","zaobaosg","RT @zaobaosg: 《华尔街日报》星期天（23日）引述美国情报机构此前未披露的消息说，中国武汉病毒研究所有三名研究人员于2019年11月到医院求医，这是在北京对外公布武汉暴发冠病疫情数月之前的事。
"2021-05-21","1395601557740085249","zaobaosg","RT @zaobaosg: 【订户专享】台湾冠病疫情连日来多点暴发，昨天又新增286个本土病例，自5月11日以来累计逾1500例，此间专家预测疫情将于下周三、四达到洪峰，6月底便可确认围堵政策是否成功。
"2021-05-20","1395220524003860482","zaobaosg","RT @zaobaosg: 马来西亚昨天的单日新增病例超过6000起，加护病房的重症患者也达559人，当中有303人需要呼吸器，都是去年暴发疫情以来的新高。雪霹两州大臣都不反对也不阻止全面封锁。
"2021-05-18","1394552411021217792","zaobaosg","RT @zaobaosg: 泰国曼谷两座监狱暴发的冠病疫情继续扩大，监狱感染群周一（5月17日）新增近7000起确诊病例，将全国单日新增病例推至新高，达9635起。这是自去年疫情暴发以来的最高单日增幅。https://t.co/Zi4waYmVHJ"
